,Type,Name
5,Protein,Dystrophin
8,Protein,Dopamine D2 receptor
12,Protein,Presenilin-1
14,Protein,Presenilin-2
29,Protein,Natural resistance-associated macrophage protein 2
66,Protein,Selenoprotein N
79,Protein,Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein
93,Protein,Chloride intracellular channel protein 4
104,Protein,"Calcium uniporter protein, mitochondrial"
13628,MeSH,cardiomyopathies
13631,MeSH,"cardiomyopathy, dilated"
13640,MeSH,glycogen storage disease type iib
13644,MeSH,sarcoglycanopathies
13697,MeSH,barth syndrome
