,Type,Name
6,Protein,Gap junction alpha-1 protein
11,Protein,Connexin-43
34,Protein,Gap junction alpha-4 protein
45,Protein,Kv channel-interacting protein 2
56,Protein,Transient receptor potential cation channel subfamily M member 4
67,Protein,14-3-3 protein epsilon
98,Protein,Protein tweety homolog 3
100,Protein,Voltage-dependent L-type calcium channel subunit alpha
13635,MeSH,chagas cardiomyopathy
13651,MeSH,"arrhythmias, cardiac"
13658,MeSH,brugada syndrome
13665,MeSH,atrioventricular block
13681,MeSH,"tachycardia, atrioventricular nodal reentry"
13704,MeSH,crisscross heart
13778,MeSH,cardiac conduction system disease
13789,MeSH,karoshi death
