,Type,Name
17,Protein,Ryanodine receptor 1
18,Protein,Ryanodine receptor 2
28,Protein,"Glutamate receptor ionotropic, NMDA 2C"
33,Protein,Sorcin
39,Protein,cAMP-dependent protein kinase catalytic subunit alpha
48,Protein,"Inositol 1,4,5-trisphosphate receptor type 1"
49,Protein,Peptidyl-prolyl cis-trans isomerase FKBP1A
50,Protein,Triadin
58,Protein,Alpha-actinin-2
59,Protein,Calsequestrin-2
60,Protein,Myc box-dependent-interacting protein 1
61,Protein,Junctophilin-2
62,Protein,"Inositol 1,4,5-trisphosphate receptor type 2"
63,Protein,Peptidyl-prolyl cis-trans isomerase FKBP1B
91,Protein,Junctophilin-1
13629,MeSH,arrhythmogenic right ventricular dysplasia
13638,MeSH,isolated noncompaction of the ventricular myocardium
13661,MeSH,ventricular premature complexes
13687,MeSH,"tachycardia, ventricular"
13689,MeSH,torsades de pointes
13690,MeSH,ventricular fibrillation
13788,MeSH,"death, sudden, cardiac"
13794,MeSH,ventricular dysfunction
