,Type,Name
2,Protein,Voltage-dependent P/Q-type calcium channel subunit alpha-1A
47,Protein,Natriuretic peptides A
13637,MeSH,endocardial fibroelastosis
13645,MeSH,heart failure
13656,MeSH,atrial flutter
13659,MeSH,"cardiac complexes, premature"
13663,MeSH,heart block
13666,MeSH,bundle-branch block
13671,MeSH,jervell-lange nielsen syndrome
13679,MeSH,"tachycardia, paroxysmal"
13680,MeSH,"tachycardia, reciprocating"
13683,MeSH,"tachycardia, supraventricular"
13692,MeSH,"heart defects, congenital"
13695,MeSH,aortic coarctation
13698,MeSH,bicuspid aortic valve disease
13699,MeSH,cor triatriatum
13700,MeSH,coronary vessel anomalies
13705,MeSH,dextrocardia
13706,MeSH,kartagener syndrome
13707,MeSH,"ductus arteriosus, patent"
13708,MeSH,ebstein anomaly
13709,MeSH,eisenmenger complex
13710,MeSH,heart septal defects
13712,MeSH,"truncus arteriosus, persistent"
13713,MeSH,endocardial cushion defects
13714,MeSH,"heart septal defects, atrial"
13715,MeSH,"foramen ovale, patent"
13717,MeSH,"heart septal defects, ventricular"
13718,MeSH,double outlet right ventricle
13719,MeSH,heterotaxy syndrome
13720,MeSH,hypoplastic left heart syndrome
13721,MeSH,leopard syndrome
13722,MeSH,levocardia
13724,MeSH,noonan syndrome
13726,MeSH,tetralogy of fallot
13727,MeSH,transposition of great vessels
13728,MeSH,congenitally corrected transposition of the great arteries
13729,MeSH,tricuspid atresia
13733,MeSH,turner syndrome
13735,MeSH,heart valve diseases
13737,MeSH,aortic valve insufficiency
13739,MeSH,aortic valve stenosis
13740,MeSH,"aortic stenosis, subvalvular"
13745,MeSH,mitral valve prolapse
13746,MeSH,tricuspid valve prolapse
13747,MeSH,mitral valve insufficiency
13748,MeSH,mitral valve stenosis
13749,MeSH,pulmonary atresia
13750,MeSH,pulmonary valve insufficiency
13751,MeSH,pulmonary valve stenosis
13752,MeSH,pulmonary subvalvular stenosis
13753,MeSH,tricuspid valve insufficiency
13754,MeSH,tricuspid valve stenosis
13779,MeSH,ventricular outflow obstruction
13783,MeSH,endocarditis
13784,MeSH,"endocarditis, bacterial"
13798,MeSH,heart neoplasms
13802,MeSH,"pericarditis, constrictive"
