,Type,Name
1,Protein,Matrix metalloproteinase-9
20,Protein,Proprotein convertase subtilisin/kexin type 9
46,Protein,Tyrosine-protein kinase Fyn
52,Protein,Serum paraoxonase/arylesterase 1
73,Protein,Calcium/calmodulin-dependent protein kinase type II subunit delta
13630,MeSH,"cardiomyopathy, alcoholic"
13639,MeSH,endomyocardial fibrosis
13674,MeSH,pre-excitation syndromes
13723,MeSH,marfan syndrome
13760,MeSH,"angina, stable"
13761,MeSH,microvascular angina
13762,MeSH,coronary disease
13763,MeSH,coronary aneurysm
13764,MeSH,coronary artery disease
13766,MeSH,coronary stenosis
13767,MeSH,coronary restenosis
13792,MeSH,"heart rupture, post-infarction"
